subject,question_no,file,official_answer,priority,line_count,char_count,flags
민사법,65,q065_민사법.md,1,normal,300,14131,
민사법,66,q066_민사법.md,3,normal,295,12441,
민사법,67,q067_민사법.md,4,normal,176,4580,
민사법,68,q068_민사법.md,5,normal,257,10066,
민사법,69,q069_민사법.md,3,normal,177,4734,
민사법,70,q070_민사법.md,4,normal,146,4631,
형사법,1,q001_형사법.md,3,normal,238,13150,
형사법,2,q002_형사법.md,2,normal,257,12446,
형사법,3,q003_형사법.md,4,normal,299,17089,
형사법,4,q004_형사법.md,19,normal,142,5300,
형사법,5,q005_형사법.md,1,normal,202,11053,
형사법,6,q006_형사법.md,3,normal,222,10477,
형사법,7,q007_형사법.md,5,normal,146,7434,
형사법,8,q008_형사법.md,1,normal,174,3074,
형사법,9,q009_형사법.md,4,normal,282,15048,
형사법,10,q010_형사법.md,2,manual,299,15384,
형사법,11,q011_형사법.md,3,normal,98,3123,
형사법,12,q012_형사법.md,4,manual,267,13631,
형사법,13,q013_형사법.md,2,normal,151,7772,
형사법,14,q014_형사법.md,1,normal,230,13469,
형사법,15,q015_형사법.md,5,normal,207,10486,
형사법,16,q016_형사법.md,2,normal,232,13553,
형사법,17,q017_형사법.md,1,normal,131,3712,
형사법,18,q018_형사법.md,2,normal,224,10077,
형사법,19,q019_형사법.md,2,normal,353,18275,
형사법,20,q020_형사법.md,1,normal,195,10864,
형사법,21,q021_형사법.md,5,normal,313,15765,
형사법,22,q022_형사법.md,4,normal,266,17096,
형사법,23,q023_형사법.md,5,manual,325,13088,
형사법,24,q024_형사법.md,1,manual,264,13854,
형사법,25,q025_형사법.md,4,manual,212,13519,
형사법,26,q026_형사법.md,3,normal,277,14936,
형사법,27,q027_형사법.md,2,normal,254,13808,
형사법,28,q028_형사법.md,2,normal,211,12432,
형사법,29,q029_형사법.md,1,manual,281,18227,
형사법,30,q030_형사법.md,3,manual,300,13091,
형사법,31,q031_형사법.md,5,normal,268,12934,
형사법,32,q032_형사법.md,3,normal,398,17830,
형사법,33,q033_형사법.md,2,normal,297,13567,
형사법,34,q034_형사법.md,4,manual,377,17207,
형사법,35,q035_형사법.md,3,normal,316,15391,
형사법,36,q036_형사법.md,3,normal,330,14327,
형사법,37,q037_형사법.md,3,normal,402,17609,
형사법,38,q038_형사법.md,5,manual,189,11609,
형사법,39,q039_형사법.md,5,normal,363,14206,
형사법,40,q040_형사법.md,4,normal,341,14763,
